Age,AgexTI,PC,PN,PCE,TI
-1.047236366,4.748494545,-1.68502487,-0.392702168,-4.424544763,-5.205483071
1.209434592,-0.565844633,-2.316232143,-1.280110949,-4.434681786,-0.70890445
-1.047236366,0.346973726,-0.047369776,0.520555216,-4.065090845,-0.405280375
0.081099113,-0.0652022,-3.281484276,-0.857770306,-2.612036983,-0.910970145
-1.047236366,1.392132364,-1.350980011,-0.168607545,-3.361355888,-1.471856471
-1.047236366,2.987056828,-3.672602349,-2.71947219,-2.991764947,-3.335480107
-1.047236366,2.118102077,-1.350980011,0.033765997,-3.328426891,-2.251856251
0.081099113,-0.331417272,-4.006647207,-2.921845732,-3.328426891,-4.634110902
0.081099113,-0.111567203,-1.736334632,0.379217393,-2.968972973,-1.702437294
-1.047236366,1.92637432,-1.736334632,-1.99099479,-2.612036983,-1.995392939
0.081099113,-0.215186973,-2.026283388,-0.159453434,-2.242446042,-3.079691733
-1.047236366,0.890906317,-1.686475077,-1.534366098,-2.242446042,-0.905389755
0.081099113,-0.129454899,-2.701586764,-2.869964125,-2.64496598,-1.976747303
1.209434592,-1.212969181,-2.026283388,-2.46521704,-1.515919112,-1.166758519
0.081099113,-0.160237561,-0.431274189,-1.978427821,-1.169120145,-2.257436642
-1.047236366,2.701291513,-1.055267803,-1.112025456,-1.872855101,-2.769812328
1.209434592,-0.08164567,-1.066794708,-1.439756994,-1.460198141,-0.093927094
0.081099113,-0.120151611,-2.026283388,-0.836049226,-1.169120145,-1.733225236
-1.047236366,2.118102077,-2.026283388,-1.745893752,-2.612036983,-2.251856251
-1.047236366,0.907516652,-1.012621908,-1.556087179,-1.895647075,-0.904714816
-1.047236366,1.050296929,-0.091465879,-1.06929796,-1.515919112,-1.166758519
0.081099113,-0.084376218,-0.387178087,-2.395741875,-1.169120145,-1.184605216
-1.047236366,0.549275643,-1.302570664,-0.168607545,-1.156465194,-0.641872175
0.081099113,-0.10430069,-1.055267803,-0.116725937,-0.789392181,-1.4348132
-1.047236366,0.532665308,-1.69223853,0.073080636,-0.766600207,-0.642547113
2.337770071,-0.492448323,-1.011171701,-2.030309429,-0.452730237,-0.100981361
-1.047236366,0.829002963,-0.437037642,-1.827935887,-0.073002273,-0.869021422
-1.047236366,0.142290094,0.293888742,-0.616082126,0.319380642,-0.106868339
0.081099113,-0.062162107,0.293888742,-1.350300779,-2.209517045,-0.893123448
-1.047236366,1.112200283,-1.350980011,-0.358414118,-1.526056134,-1.203126852
-1.047236366,1.112200283,-0.7710825,-0.401141614,-1.169120145,-1.203126852
0.081099113,-0.086129988,-1.68502487,-0.845203337,-1.146328171,-1.203126852
0.081099113,-0.102248058,-0.429823982,-0.918806025,-0.789392181,-1.417334854
0.081099113,-0.094445817,-1.643829182,-1.362867748,-0.789392181,-1.446280568
-1.047236366,0.988393575,-0.715459493,-0.616082126,-0.429938263,-1.130390187
0.081099113,-0.125212622,-0.091465879,0.033765997,-0.41980124,-1.685389535
1.209434592,-0.404934235,-1.011171701,-0.349260007,-0.429938263,-0.362656713
-1.047236366,1.782507578,-1.396526322,0.327335785,-0.41980124,-2.007535246
0.081099113,-0.006225236,0.286675082,-0.116725937,0.306725691,-0.070500006
-1.047236366,2.596681615,-1.345216559,-0.603515156,-1.862718078,-2.799801332
-1.047236366,1.847860632,-0.7710825,0.073080636,-1.526056134,-1.959699545
0.081099113,-0.058202835,-0.66414973,-1.107897934,-1.169120145,-0.559142018
0.081099113,0.001355855,-1.68502487,-3.840129705,-1.179257168,-0.081660787
0.081099113,-0.055347326,-1.011171701,-1.331992556,-1.169120145,-0.922437514
0.081099113,-0.129454899,-0.721222945,-0.845203337,-1.146328171,-1.976747303
0.081099113,-0.005474783,-0.772532708,-0.573354629,-0.789392181,-0.093927094
-1.047236366,0.71470243,0.583837498,0.327335785,-0.799529204,-0.922437514
0.081099113,-0.042520641,-0.721222945,-0.116725937,-0.799529204,-0.600291803
0.081099113,0.003561357,-0.343081984,0.112395274,-0.789392181,0.233799007
