Age,AgexTI1,AgexTI2,AgexTI3,AgexTI4,AgexTI5,PCE1,PCE2,PCE3,PCE4,PC1,PC2,PC3,PC4,PN1,PN2,PN3,PN4,TI1,TI2,TI3,TI4,TI5
-1.047,4.937,5.705,4.32,4.997,1.761,-3,-4.015,-4.934,-3.429,-1.581,-1.624,-1.698,-0.565,1.072,-1.275,-0.496,-0.473,-4.53,-5.084,-3.992,-4.899,-1.785
1.209,-0.002,-0.059,1.493,-2.492,-2.453,-4.053,-4.015,-3.925,-4.378,-1.581,-2.625,-1.698,-1.634,-1.553,-0.467,-1.252,-1.268,0.087,0.022,1.248,-1.833,-1.785
-1.047,-0.21,-1.277,-0.325,0.634,1.761,-4.053,-4.015,-3.925,-3.429,0.59,-0.623,0.404,-0.565,1.072,0.341,1.016,-0.473,0.087,1.044,0.2,-0.811,-1.785
0.081,-0.206,-0.086,-0.177,-0.299,-0.263,-1.947,-2.276,-2.915,-3.429,-1.581,-3.626,-2.749,-2.704,-0.678,-1.275,-0.496,-0.473,-1.068,0.022,-0.848,-0.811,-0.81
-1.047,-0.21,-0.114,0.836,1.724,2.829,-3,-2.276,-2.915,-2.481,-1.581,-1.624,-0.647,-0.565,0.197,-0.467,0.26,-0.473,0.087,0.022,-0.848,-1.833,-2.759
-1.047,2.363,3.378,1.997,2.815,2.829,-3,-2.276,-2.915,-3.429,-2.667,-2.625,-2.749,-3.773,-2.429,-2.891,-2.008,-2.064,-2.222,-3.041,-1.896,-2.855,-2.759
-1.047,1.076,1.05,1.997,1.724,2.829,-1.947,-3.146,-2.915,-2.481,-1.581,-1.624,-0.647,-0.565,0.197,-0.467,1.016,-0.473,-1.068,-0.999,-1.896,-1.833,-2.759
0.081,-0.405,-0.447,-0.447,-0.468,-0.511,-1.947,-3.146,-1.906,-2.481,-2.667,-2.625,-3.8,-3.773,-2.429,-2.891,-2.763,-2.064,-3.376,-4.062,-3.992,-2.855,-3.734
0.081,-0.306,-0.266,-0.177,-0.299,-0.263,-3,-3.146,-2.915,-3.429,-1.581,-0.623,-1.698,-1.634,0.197,1.149,-0.496,0.323,-2.222,-2.02,-0.848,-0.811,-0.81
-1.047,1.076,1.05,1.997,2.815,0.693,-1.947,-2.276,-2.915,-2.481,-1.581,-0.623,-1.698,-1.634,-1.553,-2.083,-2.008,-1.268,-1.068,-0.999,-1.896,-2.855,-0.81
